"","Front.Door","Window","Back.Door","Forced.Entry","Unforced.Entry","House","Bank","Shop","Money","Jewellery","Electronics","Morning","Afternoon","Night","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"C 1",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 2",1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 3",1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 4",0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"C 5",1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 6",1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"C 7",1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 8",1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"C 9",1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 10",0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 11",0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"C 12",1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 13",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 14",1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 15",1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 16",1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 17",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 18",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 19",1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"C 20",1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"C 21",0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 22",0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 23",0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 24",0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"C 25",0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 26",0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 27",0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 28",0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 29",0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 30",0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 31",0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 32",1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"C 33",0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 34",0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"C 35",0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 36",0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"C 37",0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 38",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
"C 39",0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 40",0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 41",0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"C 42",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 43",0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"C 44",0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"C 45",0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"C 46",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 47",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 48",0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 49",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 50",0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 51",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"C 52",0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"C 53",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"C 54",1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 55",0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 56",0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 57",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 58",1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 59",0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 60",0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"C 61",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 62",0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"C 63",0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"C 64",0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"C 65",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 66",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 67",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 68",0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 69",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 70",0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 71",1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 72",1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 73",1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 74",0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
