"","Front.Door","Window","Back.Door","Forced.Entry","Unforced.Entry","House","Bank","Shop","Money","Jewellery","Electronics","Morning","Afternoon","Night","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"C 1",1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 2",0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"C 3",0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
"C 4",1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 5",1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 6",1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"C 7",0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 8",1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
"C 9",1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"C 10",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 11",0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"C 12",0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"C 13",0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"C 14",0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 15",0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 16",0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 17",0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 18",1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 19",0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"C 20",0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"C 21",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"C 22",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"C 23",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"C 24",1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"C 25",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"C 26",1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"C 27",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"C 28",1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 29",0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 30",1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"C 31",0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 32",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 33",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 34",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
