"","Front.Door","Window","Back.Door","Forced.Entry","Unforced.Entry","House","Bank","Shop","Money","Jewellery","Electronics","Morning","Afternoon","Night","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"C 1",0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"C 2",0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 3",1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"C 4",0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 5",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 6",1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 7",1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"C 8",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 9",0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 10",1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 11",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 12",0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 13",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"C 14",0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"C 15",1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"C 16",1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 17",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 18",0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 19",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 20",1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"C 21",0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 22",0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"C 23",0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 24",0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"C 25",0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 26",0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 27",0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"C 28",0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
